F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19
M1,T19,94.07,94.052,99.821,0.9403,0.9593,5540,111,38.09,153.57,23274236,23.27,2.7,62.941,CPU,10.21,19.97,5.093108082
M1,T20,92.69,92.705,99.68,0.925,0.9481,6390,188,45.76,93.47,6805999,6.81,9.23,89.163,MOB,10.24,18.35,4.719414078
M1,T21,93.83,93.807,99.811,0.9377,0.9574,6686,191,46.12,92.05,6664945,6.66,9.42,89.388,MOB,10.26,18.51,4.757286204
M1,T22,94.06,94.042,99.821,0.9402,0.9592,7093,201,47.08,88.56,11882067,11.88,5.29,81.081,MOB,83.23,18.67,4.790728199
M1,T23,93.92,93.899,99.816,0.9387,0.9581,5578,111,38.11,153.27,23341191,23.34,2.69,62.835,CPU,10.24,19.73,5.039529276
M1,T24,92.67,92.675,99.683,0.9248,0.948,6402,188,45.77,93.42,6743601,6.74,9.31,89.262,MOB,10.24,18.5,4.749734677
M1,T25,93.94,93.919,99.804,0.9389,0.9582,6718,192,46.2,91.72,6601757,6.6,9.51,89.488,MOB,10.25,18.4,4.723327153
M1,T26,93.94,93.92,99.815,0.9389,0.9583,7062,200,47,88.81,11932314,11.93,5.26,81.001,MOB,10.41,18.7,4.800358098
M2,T1,95.03,95.031,99.898,0.951,0.9671,254475,6401,667.06,31.57,25206222,25.21,7.79,87.164,MOB,10.36,17.56,4.13120271
M2,T2,95.02,95.017,99.859,0.9509,0.9669,20067,531,80.1,49.96,24966094,24.97,7.87,87.287,MOB,10.35,17.82,4.189419563
M2,T3,95.07,95.069,99.9,0.9514,0.9674,17761,460,72.99,53.26,24736118,24.74,7.94,87.404,MOB,10.36,17.64,4.152059874
M2,T4,95.1,95.097,99.901,0.9518,0.9677,22299,556,82.6,49.01,48868834,48.87,4.02,75.115,MOB,10.36,18.04,4.257311656
M2,T5,95.11,95.107,99.901,0.9519,0.9678,22767,553,82.3,49.12,97639666,97.64,2.01,50.279,MOB,89.82,18.13,4.266669344
M2,T6,95.91,95.895,99.919,0.9608,0.9741,9297,150,41.97,113.51,86874439,86.87,2.26,55.761,CPU,10.43,20.59,5.238247283
M2,T7,95.93,95.912,99.918,0.961,0.9742,256918,6409,667.89,31.57,20470055,20.47,9.59,89.576,MOB,10.38,19,4.867314918
M2,T8,95.9,95.883,99.798,0.9607,0.9737,20251,531,80.13,49.95,20322471,20.32,9.66,89.651,MOB,10.59,19.23,4.926541521
M2,T9,95.95,95.933,99.918,0.9612,0.9744,17865,460,73.05,53.23,20259348,20.26,9.69,89.683,MOB,10.39,19.13,4.902433582
M2,T10,95.92,95.904,99.919,0.9609,0.9741,22040,553,82.27,49.13,43350785,43.35,4.53,77.925,MOB,89.81,19.23,4.924838875
M2,T11,95.5,95.494,99.911,0.9562,0.9708,9259,149,41.9,114.06,82903911,82.9,2.37,57.783,CPU,10.69,20.81,5.290004982
M2,T12,95.4,95.397,99.851,0.9551,0.9699,20288,531,80.09,49.97,19980366,19.98,9.83,89.825,MOB,10.36,19.23,4.91705352
M2,T13,95.38,95.375,99.91,0.9549,0.9699,17681,457,72.67,53.44,19921760,19.92,9.86,89.855,MOB,10.37,19.13,4.899015396
M2,T14,95.5,95.494,99.911,0.9562,0.9708,22118,554,82.44,49.07,41874872,41.87,4.69,78.676,MOB,89.98,19.15,4.90829016
M2,T15,95.6,95.595,99.913,0.9573,0.9716,9240,148,41.82,114.58,82967071,82.97,2.37,57.751,CPU,10.37,21.11,5.359415045
M2,T16,95.53,95.527,99.856,0.9566,0.971,20271,532,80.18,49.93,20098539,20.1,9.77,89.765,MOB,10.37,19.26,4.928813779
M2,T17,95.57,95.566,99.913,0.957,0.9714,17794,460,72.98,53.27,20039814,20.04,9.8,89.795,MOB,10.56,19.2,4.907104389
M2,T18,95.62,95.614,99.913,0.9576,0.9718,22182,554,82.41,49.08,41906996,41.91,4.69,78.66,MOB,89.83,19.31,4.936605711
M2,T19,95.55,95.549,99.912,0.9568,0.9712,9214,148,41.81,114.66,82814735,82.81,2.37,57.828,CPU,10.37,20.71,5.266922688
M2,T20,95.46,95.459,99.835,0.9558,0.9704,20239,531,80.11,49.95,20017369,20.02,9.81,89.807,MOB,10.36,19.35,4.94360218
M2,T21,95.5,95.5,99.912,0.9562,0.9709,17816,461,73.12,53.19,19958639,19.96,9.84,89.836,MOB,10.38,19.13,4.901965498
M2,T22,95.55,95.549,99.912,0.9568,0.9712,22077,554,82.42,49.08,41836266,41.84,4.69,78.696,MOB,89.75,19.26,4.929054944
M2,T23,95.58,95.578,99.909,0.9571,0.9715,9258,149,41.86,114.3,82945438,82.95,2.37,57.762,CPU,10.37,20.77,5.281824655
M2,T24,95.46,95.462,99.848,0.9558,0.9704,20213,531,80.06,49.98,19960830,19.96,9.84,89.835,MOB,10.37,19.25,4.930801651
M2,T25,95.54,95.541,99.909,0.9567,0.9712,17823,460,73.05,53.23,19902991,19.9,9.87,89.865,MOB,10.38,19.24,4.927382128
M2,T26,95.59,95.589,99.909,0.9572,0.9716,22212,556,82.63,49,41865011,41.87,4.69,78.681,MOB,10.39,19.34,4.947725786
M3,T1,91.56,91.568,99.648,0.9124,0.9391,67006,1707,197.72,35.96,5283182,5.28,7.33,86.357,MOB,10.17,17.5,4.131312005
M3,T2,91.21,91.278,99.598,0.9086,0.9363,4328,137,40.72,123.3,5131742,5.13,7.55,86.748,MOB,10.18,17.71,4.172697306
M3,T3,92.28,92.277,99.702,0.9204,0.9449,4631,142,41.22,119.16,4983462,4.98,7.77,87.131,MOB,10.19,17.52,4.120288958
M3,T4,92.5,92.497,99.711,0.9229,0.9467,4632,142,41.24,118.94,9574198,9.57,4.04,75.277,MOB,10.18,17.4,4.102687911
M3,T5,92.51,92.508,99.712,0.923,0.9468,4624,142,41.22,119.12,19118514,19.12,2.03,50.631,MOB,74.89,17.75,4.178217077
M3,T6,92.89,92.847,99.779,0.9272,0.9498,4682,103,37.27,167.58,15536139,15.54,2.49,59.881,CPU,10.42,19.85,5.063651413
M3,T7,91.85,91.821,99.723,0.9157,0.9415,67831,1713,198.26,35.94,4089623,4.09,9.47,89.439,MOB,10.14,15.4,4.023089315
M3,T8,92.17,92.152,99.691,0.9192,0.944,4386,138,40.77,122.87,3988883,3.99,9.71,89.7,MOB,10.18,15.87,4.137835857
M3,T9,92.79,92.752,99.774,0.9261,0.949,4716,143,41.34,118.15,3950424,3.95,9.8,89.799,MOB,11.06,15.44,4.031127146
M3,T10,92.88,92.838,99.779,0.9271,0.9497,4690,143,41.31,118.41,7770545,7.77,4.98,79.934,MOB,75.57,15.58,4.067770757
